algorithm,config,compression_ratio,compress_speed_mbps,decompress_speed_mbps,in_algo_cspeed_frontier,in_algo_dspeed_frontier
zstd,-1,1.3534516573098294,442.59,993.6,True,True
zstd,-3,1.4856001266660293,150.36,741.35,True,False
zstd,-5,1.5002876787775834,88.45,717.81,True,False
zstd,-7,1.5045624932914372,69.34,752.41,True,True
zstd,-9,1.5262719346637967,57.08,734.98,True,True
zstd,-11,1.5340667149656084,28.96,681.08,True,True
zstd,-13,1.5365502067630952,11.24,661.11,True,False
zstd,-15,1.5385250290283445,10.09,676.93,True,True
zstd,-16,1.5479900020333972,5.57,629.09,True,True
zstd,-19,1.624950348020224,3.19,482.1,True,True
xz,-1,1.6861313402320839,6.43,36.07,True,True
xz,-3,1.6820361349798862,3.9,35.84,False,False
xz,-5,1.8286265607634538,2.41,33.58,True,False
xz,-7,1.8704970639034255,2.32,35.69,True,True
xz,-9,1.8502394068214332,1.85,34.44,False,False
zlib,-1,1.475136752445837,32.38,182.14,True,False
zlib,-3,1.473164505065901,25.81,192.95,False,True
zlib,-5,1.4850931546593915,18.79,178.99,True,False
zlib,-7,1.4917367985182333,11.03,176.61,True,False
zlib,-9,1.4954202195551396,2.76,188.75,True,True
openzl,,2.2363176019630484,44.52884457055485,674.3622002538241,True,True
openzl,,2.2360523669228307,43.09611940935624,633.9175465952258,False,False
openzl,,2.236045268436779,40.61991389889155,540.4451928910461,False,False
openzl,,2.2360074243619046,43.487342599106924,653.3173604258003,False,False
openzl,,2.2360074243619046,42.721662593756285,654.0968912308739,False,False
openzl,,2.2360074243619046,43.57524763871005,678.3229732983209,False,True
openzl,,2.234557109170163,46.063609713809896,647.5174665954034,True,False
openzl,,2.234556861878859,45.66255385067673,681.7661014850789,False,True
openzl,,2.232353816045582,43.831749753074355,655.7786654974749,False,False
openzl,,2.2323492913164307,43.501552260886115,662.2454370035913,False,False
openzl,,2.2167592651449755,50.98970445879174,591.5437100837875,True,False
openzl,,2.216300246938514,55.259565132116094,624.1301008186038,True,False
openzl,,2.216300246938514,54.53693009939498,601.0106162378831,False,False
openzl,,2.211485690178915,53.96291340581808,647.0194932814936,False,False
openzl,,2.207339957924254,48.77549198015975,627.5895690552784,False,False
openzl,,2.1750868289513288,68.59155390486113,680.5902993123905,True,False
openzl,,2.1745716780723647,68.97543198419523,683.9329675168512,True,True
openzl,,2.1745703900130513,70.5984778998281,696.9001622162654,True,True
openzl,,2.174569960660286,67.6519960464376,711.1817247917535,False,True
openzl,,2.1734582326442524,70.74813305147102,692.2688951744236,True,False
openzl,,2.165881383827634,97.39883748974965,715.6178150565581,True,True
openzl,,2.1637080013615497,98.7130432657052,714.6174055635514,True,False
openzl,,2.1637075762874667,101.57158020054328,715.5586413008169,True,False
openzl,,2.16328440129338,106.78194013538287,710.422721701958,True,False
openzl,,2.162090374634318,100.32421434427248,720.4907404103479,False,True
openzl,,2.16209002736625,101.39730835865116,726.6095577386736,False,True
openzl,,2.162089718683616,101.39985436649425,723.2694025217309,False,False
openzl,,2.1615883029579286,106.75653445890575,683.6396560091189,False,False
openzl,,2.16102698412823,116.31417461932833,732.5496003192609,True,True
openzl,,2.16102698412823,111.45811989401633,722.3465459879083,False,False
openzl,,2.1610260589909966,113.38267119633882,726.4004388962838,False,False
openzl,,2.1519323843887928,172.9380180802606,720.246589024238,True,False
openzl,,2.135323593291316,145.38015638349955,755.0341711486566,False,True
openzl,,2.1337662280021354,156.2109786901543,749.8933379550251,False,False
openzl,,2.1337653636393528,152.2549955511318,748.1798464740284,False,False
openzl,,2.132546970488387,163.57986281763928,734.9760853211677,False,False
openzl,,2.127091366075617,116.3454508787093,796.2047712933754,False,True
openzl,,2.1270531615468284,347.2834267827044,682.80355743923,True,False
openzl,,2.126850958084766,196.48185936078391,786.0434446917153,False,False
openzl,,2.126220807937988,350.7430799829768,688.6017040190524,True,False
openzl,,2.1234124492571884,360.7312794218796,674.869332709437,True,False
openzl,,2.12330303639098,370.0224119921568,697.5260988220122,True,False
openzl,,2.123302180484435,370.03032311465546,719.1435491051553,True,False
openzl,,2.1232591999779316,376.6216359888957,719.1648937433218,True,False
openzl,,2.1213739019770106,239.20902020483234,823.0054549777522,False,True
openzl,,2.1183329471158823,392.50984267274896,743.9438866680176,True,False
openzl,,2.1183329471158823,392.40940612499395,744.3506881297616,False,False
openzl,,2.1150287187898646,403.12421762957985,762.3988748135702,True,False
openzl,,2.0626341419397787,130.9474850408135,880.224054753117,False,True
openzl,,2.058609054361116,240.01703390535664,944.6802448438535,False,True
openzl,,1.9598045244486308,146.0929709262363,984.9555532068846,False,True
openzl,,1.9583314434397665,196.4296139684125,1004.581485596776,False,True
openzl,,1.95634774642218,171.60907859846338,992.9800585212324,False,False
openzl,,1.9533224833437848,148.11427795973606,953.1830434064248,False,False
openzl,,1.952183928552984,154.62358666477778,1017.9518207941921,False,True
openzl,,1.9499270216979032,160.17213373754092,1015.1370659605844,False,False
openzl,,1.9119825779440471,211.5227794131512,935.5396840105639,False,False
openzl,,1.8260710279055319,193.12456840071542,1024.3467798530494,False,True
openzl,,1.8163502215300613,223.38769353884055,1066.3625705257414,False,True
openzl,,1.8132853332889505,285.2412544439997,1056.6250763139076,False,False
openzl,,1.8125320277453407,292.4786779971996,1111.421659556901,False,True
openzl,,1.5436932773190621,442.53957086812636,1026.0732265058607,True,False
openzl,,1.5373683214448677,520.5468747985924,1063.0875299444547,True,False
openzl,,1.5373683214448677,511.9764276326633,1074.8584280429054,False,False
openzl,,1.5373683214448677,500.36972270177847,1036.378021865216,False,False
openzl,,1.5373683214448677,507.870674838396,1053.5652181475073,False,False
openzl,,1.5373680873392905,546.2003642823008,1035.7400872018466,False,False
openzl,,1.5373680873392905,559.4445660455773,999.534003811661,True,False
openzl,,1.5373679507777367,555.0488752462547,1026.7167070628316,False,False
openzl,,1.517815665752636,566.7515800208641,1051.1154703754155,True,False
openzl,,1.517815627721196,566.6773531158935,1078.9458881784017,False,False
openzl,,1.517814981187005,598.9633405350354,1151.4457687043794,True,True
openzl,,1.438672298416243,328.89162232598545,1216.613741098874,False,True
openzl,,1.4386718542232522,324.6897651469875,1233.8414110645008,False,True
openzl,,1.4385894099206957,351.92086679932027,1189.41769343295,False,False
openzl,,1.43627630286064,467.9035307930574,1277.7016234070982,False,True
openzl,,1.4362456199734286,509.04648416983554,1292.57827453541,False,True
openzl,,1.4362455688931333,504.13424935709116,1271.3154884705875,False,False
openzl,,1.4362455688931333,512.5178968030697,1299.7044217654234,False,True
openzl,,1.434963594246857,539.7445324090368,1248.5432144568629,False,False
openzl,,1.4203729546951385,542.5702808007524,1339.487889931384,False,True
openzl,,1.3983038502544516,614.3722324208647,1149.0649885236262,True,False
openzl,,1.397319126405123,593.258564628915,1136.5710506318426,False,False
openzl,,1.3973188685440208,607.2738108962952,1177.991326753853,False,False
openzl,,1.395299387182292,520.6766317544772,1444.9567230453808,False,True
openzl,,1.395299387182292,500.93661307928943,1433.3709332784358,False,False
openzl,,1.3952992907637076,519.4576824954443,1459.2105481862627,False,True
openzl,,1.3925619806687015,584.8161710754972,1448.7079230771071,False,False
openzl,,1.3925437171799597,575.5177642548704,1446.4524517353773,False,False
openzl,,1.3761494476234706,601.2999637682958,1385.9569697378763,False,False
openzl,,1.3761494476234706,608.8638844495372,1430.70490995986,False,False
openzl,,1.3761494476234706,612.1773917261661,1421.0571024400085,False,False
openzl,,1.37614926004322,609.2496831814616,1305.338104288688,False,False
openzl,,1.3754806739433654,707.7995968802032,1442.7575784641217,True,False
openzl,,1.3580863608076448,740.7733481711567,1480.281343891773,True,True
openzl,,1.3580863608076448,737.0284042171351,1439.5483532896778,False,False
openzl,,1.3526171539524956,584.4973440824419,1541.2002864852006,False,True
openzl,,1.3526093766455722,584.8246402487001,1589.011380761699,False,False
openzl,,1.3526093766455722,588.3520773134546,1610.977712354943,False,True
openzl,,1.350027325818024,669.887631875788,1591.4953949952512,False,False
openzl,,1.3196675040319672,718.2737669636981,1586.6161413765196,False,False
openzl,,1.319667317158751,769.7325675220626,1551.3561086546479,True,False
openzl,,1.319665563428068,758.6511409463217,1627.183969720942,False,True
openzl,,1.3036460904488065,797.6673711655836,1573.640855516617,True,False
openzl,,1.303645809889913,829.9742959121457,1678.0826308455617,True,True
openzl,,1.2940625810688287,694.9294060286231,1819.7189398661692,False,True
openzl,,1.0538557201747798,759.4596231240831,1924.9673956565675,False,True
openzl,,1.0538536850587517,759.492950506222,2243.989375593872,False,True
openzl,,1.0538536850587517,757.2475310648298,2214.105114259397,False,False
openzl,,1.0538536483900665,744.8174574874892,2196.2119448764943,False,False
openzl,,1.0538536483900665,760.3604902939128,2253.334288105645,False,True
openzl,,1.0538536483900665,757.2995993174019,2247.64463062906,False,False
openzl,,1.053666258905801,735.2035561489214,1755.0745994057543,False,False
openzl,,1.053665828202152,755.5521338098,2230.5290832868445,False,False
openzl,,1.053665828202152,758.6368890697893,2193.8217968799513,False,False
openzl,,1.0476048729060974,868.4438184125073,1723.6890344537146,False,False
openzl,,1.0476049453763476,904.8578897444899,1793.701093538558,False,False
openzl,,1.0476049453763476,910.5090862631334,1805.4519198958014,True,False
openzl,,1.0476048547885364,888.5846370497502,1778.3979954024608,False,False
openzl,,1.0476048547885364,894.8592384680726,1815.361624782914,False,False
openzl,,1.0476047823182986,902.2566970768945,1822.4700342980925,False,False
openzl,,1.047604836670976,901.7798669108123,1821.7739476161403,False,False
openzl,,1.0476046645541837,890.1384833545183,1928.0584701323296,False,False
openzl,,1.0476046464366298,902.035009083599,2087.4559852784582,False,False
openzl,,1.047604592083972,899.5368166259532,2240.739635120739,False,False
