algorithm,config,compression_ratio,compress_speed_mbps,decompress_speed_mbps,in_algo_cspeed_frontier,in_algo_dspeed_frontier
zstd,-1,6.109382987565602,491.35,1196.77,True,False
zstd,-3,5.814516129032258,293.13,1098.33,False,False
zstd,-5,5.957545089066372,181.71,1125.01,False,False
zstd,-7,6.089580602306819,84.43,1075.61,False,False
zstd,-9,6.550105318443385,61.42,1110.12,True,False
zstd,-11,6.4823758222066825,30.52,1163.94,False,False
zstd,-13,6.501683361996019,16.11,1343.96,False,False
zstd,-15,6.673501460696185,8.93,1751.49,True,True
zstd,-16,6.454313109468722,6.47,1449.72,False,False
zstd,-19,7.275632266066811,4.0,1130.85,True,True
xz,-1,7.396030717063927,23.43,152.74,True,False
xz,-3,7.397091185656665,10.81,141.14,True,False
xz,-5,8.578989227098546,3.18,167.47,False,False
xz,-7,8.587806149035956,3.29,168.3,True,True
xz,-9,8.587806149035956,3.24,153.5,False,False
zlib,-1,5.478318682130458,144.58,463.63,True,False
zlib,-3,5.572662692992037,97.26,508.01,True,True
zlib,-5,5.75116187606286,52.85,414.7,True,False
zlib,-7,5.78016242510282,19.06,419.53,True,False
zlib,-9,5.7854447229075445,2.42,420.1,True,True
openzl,,11.832823080068211,297.7758019875812,1425.6911819481659,True,True
openzl,,11.041802652132008,145.98681782230423,1622.5130245723428,False,True
openzl,,9.913042232878773,574.3192598636444,1032.3504407356033,True,False
openzl,,9.730026076627329,149.7309467968698,1586.1768682540046,False,False
openzl,,9.730026076627329,141.86925561478694,1738.891587251076,False,True
openzl,,8.990579608961225,619.7152833736235,1359.126328294514,True,False
openzl,,8.99053095084494,578.3301652288346,1245.1962934589835,False,False
openzl,,7.900047176271857,790.3475050432003,1469.4917413273324,True,False
openzl,,7.736772097425026,153.79311238707504,2474.717770408574,False,True
openzl,,7.73141408236744,152.3773181994133,2458.485645869284,False,False
openzl,,7.73141408236744,152.27395642935585,2394.6375286503007,False,False
openzl,,7.634201847814498,877.9875224361481,1481.126423007789,True,False
openzl,,7.605638445746351,222.76063862598326,2440.5560501749783,False,False
openzl,,5.443756267327316,218.59409953417372,2390.2134406915743,False,False
openzl,,3.928066413620959,548.7961519147924,1771.1285775819788,False,False
openzl,,3.2981437934657527,385.6187787847274,2028.3473181405254,False,False
openzl,,3.298101885566754,426.6732419978733,2207.183913391246,False,False
openzl,,2.5595511220254483,675.0694907264423,1445.158775865999,False,False
openzl,,2.5595266709808633,696.1220949236069,1599.5747778560944,False,False
openzl,,1.9999812183918175,1237.4105006599784,1791.2811687219369,True,False
openzl,,1.9999706237941006,1298.6461491315436,1899.0429243622164,True,False
openzl,,1.9999682159466374,1183.0935359396967,1687.3068851966138,False,False
openzl,,0.9999968697123723,1644.1310725158655,2949.1579586488992,False,False
openzl,,0.9999957861558364,1633.9686186871468,2939.1394813108423,False,False
openzl,,0.9999931374719675,1784.411918250546,2894.068948215667,False,False
