algorithm,config,compression_ratio,compress_speed_mbps,decompress_speed_mbps,in_algo_cspeed_frontier,in_algo_dspeed_frontier
zstd,-1.0,1.1603091835053063,272.4,976.63,True,True
zstd,-3.0,1.3119744463323773,102.15,703.46,True,False
zstd,-5.0,1.3669107409064014,55.9,794.32,True,False
zstd,-7.0,1.3859400910729442,42.75,813.43,True,True
zstd,-9.0,1.3904007920667552,33.71,778.66,True,False
zstd,-11.0,1.3944895699950908,17.78,766.92,True,True
zstd,-13.0,1.3918885589984311,6.86,779.44,False,True
zstd,-15.0,1.3933227584468444,5.78,772.55,False,True
zstd,-16.0,1.4322654854532686,4.31,672.54,True,True
zstd,-19.0,1.450222894500869,3.33,658.81,True,True
xz,-1.0,1.472585971906124,6.07,37.74,True,False
xz,-3.0,1.49433941424822,3.16,39.2,True,False
xz,-5.0,1.643211447281214,2.32,41.42,True,True
xz,-7.0,1.642810913767392,2.32,42.51,False,True
xz,-9.0,1.642810913767392,2.27,40.44,False,False
zlib,-1.0,1.3024853379465473,36.75,203.7,True,False
zlib,-3.0,1.333238468970069,27.48,212.16,True,False
zlib,-5.0,1.3504244410089752,18.88,214.27,True,False
zlib,-7.0,1.3611815868173838,12.77,221.64,True,False
zlib,-9.0,1.3616321687145132,10.68,226.09,True,True
openzl,,3.239728346769762,76.70167556167593,658.8363979940402,False,False
openzl,,3.239728346769762,79.21431723547325,741.1059446312327,True,True
openzl,,3.2000967273330616,74.40798917320512,751.6642568033292,False,True
openzl,,3.199483984367762,70.66587412178556,761.1455896352413,False,False
openzl,,3.199483984367762,69.59705947273967,786.9528888078636,False,True
openzl,,3.19943881445141,72.4535073083494,722.0462782269306,False,False
openzl,,3.19943881445141,69.6204446833839,730.453666398066,False,False
openzl,,3.19943881445141,77.14275988545509,793.460573939455,False,True
openzl,,3.198785404921633,66.24534351563427,796.7181812888433,False,True
openzl,,3.1968197305076025,74.91344909265395,905.9811206668234,False,True
openzl,,3.1902914440843437,81.9932704396827,867.148313161098,True,False
