EPNUM,RTYPE,GQTYPE,RELSHIP,QSEX,QAGE,CENHISP,CENRACE,LIVE_ALONE,NUMRACE,PGQSHRT,GQTYPE_PL,VOTING_AGE,TABBLKST,TABBLKCOU,TABTRACTCE,TABBLK,TABBLKGRPCE,AIANNHCE,AIANNHFP,AIANNHNS,AIHHTLI,ANRCFP,ANRCNS,AREALAND,AREAWATER,AREAWATERCSTL,AREAWATERGRLK,AREAWATERINLD,AREAWATERTSEA,CBSAFP,CD116FP,CNECTAFP,CONCITFP,CONCITNS,COUNTYFS,COUNTYNS,COUSUBFP,COUSUBFS,COUSUBNS,CSAFP,DIVISIONCE,ESTATEFP,ESTATENS,INTPTLAT,INTPTLON,LWBLKTYP,MEMI,METDIVFP,NECTADIVFP,NECTAFP,NMEMI,PCICBSA,PCINECTA,PLACEFP,PLACEFS,PLACENS,PUMA,REGIONCE,SDELMLEA,SDSECLEA,SDUNILEA,SLDLST,SLDUST,STATENS,SUBMCDFP,SUBMCDNS,TBLKGRPCE,TRIBALSUBCE,TRIBALSUBFP,TRIBALSUBNS,TTRACTCE,UACE,UATYP,UGACE,UR,VTDST,ZCTA5CE
0,3,000,27,1,17,1,01,2,1,0,0,1,01,013,953000,1035,1,9999,99999,99999999,9,99999,99999999,6627788,0,0,0,0,0,99999,02,999,99999,99999999,A,00161532,91170,S,00165672,999,6,99999,99999999,+31.9119948,-086.6638513,L,9,99999,99999,99999,9,9,9,99999,9,99999999,02500,3,99999,99999,00510,090,023,01779775,99999,99999999,9,999,99999,99999999,999999,99999,9,99999,R,0012.2,36037
1,3,000,30,2,4,1,01,2,1,0,0,1,01,013,953000,1035,1,9999,99999,99999999,9,99999,99999999,6627788,0,0,0,0,0,99999,02,999,99999,99999999,A,00161532,91170,S,00165672,999,6,99999,99999999,+31.9119948,-086.6638513,L,9,99999,99999,99999,9,9,9,99999,9,99999999,02500,3,99999,99999,00510,090,023,01779775,99999,99999999,9,999,99999,99999999,999999,99999,9,99999,R,0012.2,36037
2,3,000,21,1,62,1,01,2,1,0,0,2,01,013,953000,1038,1,9999,99999,99999999,9,99999,99999999,7154307,0,0,0,0,0,99999,02,999,99999,99999999,A,00161532,91170,S,00165672,999,6,99999,99999999,+31.9272729,-086.6549540,L,9,99999,99999,99999,9,9,9,99999,9,99999999,02500,3,99999,99999,00510,090,023,01779775,99999,99999999,9,999,99999,99999999,999999,99999,9,99999,R,0012.2,36037
3,3,000,21,1,62,1,01,2,1,0,0,2,01,013,953000,1038,1,9999,99999,99999999,9,99999,99999999,7154307,0,0,0,0,0,99999,02,999,99999,99999999,A,00161532,91170,S,00165672,999,6,99999,99999999,+31.9272729,-086.6549540,L,9,99999,99999,99999,9,9,9,99999,9,99999999,02500,3,99999,99999,00510,090,023,01779775,99999,99999999,9,999,99999,99999999,999999,99999,9,99999,R,0012.2,36037
4,3,000,21,1,62,1,01,2,1,0,0,2,01,013,953000,1038,1,9999,99999,99999999,9,99999,99999999,7154307,0,0,0,0,0,99999,02,999,99999,99999999,A,00161532,91170,S,00165672,999,6,99999,99999999,+31.9272729,-086.6549540,L,9,99999,99999,99999,9,9,9,99999,9,99999999,02500,3,99999,99999,00510,090,023,01779775,99999,99999999,9,999,99999,99999999,999999,99999,9,99999,R,0012.2,36037
5,3,000,25,1,17,1,01,2,1,0,0,1,01,013,953000,1038,1,9999,99999,99999999,9,99999,99999999,7154307,0,0,0,0,0,99999,02,999,99999,99999999,A,00161532,91170,S,00165672,999,6,99999,99999999,+31.9272729,-086.6549540,L,9,99999,99999,99999,9,9,9,99999,9,99999999,02500,3,99999,99999,00510,090,023,01779775,99999,99999999,9,999,99999,99999999,999999,99999,9,99999,R,0012.2,36037
6,3,000,25,1,17,1,01,2,1,0,0,1,01,013,953000,1038,1,9999,99999,99999999,9,99999,99999999,7154307,0,0,0,0,0,99999,02,999,99999,99999999,A,00161532,91170,S,00165672,999,6,99999,99999999,+31.9272729,-086.6549540,L,9,99999,99999,99999,9,9,9,99999,9,99999999,02500,3,99999,99999,00510,090,023,01779775,99999,99999999,9,999,99999,99999999,999999,99999,9,99999,R,0012.2,36037
7,3,000,25,2,13,1,02,2,1,0,0,1,01,013,953000,1038,1,9999,99999,99999999,9,99999,99999999,7154307,0,0,0,0,0,99999,02,999,99999,99999999,A,00161532,91170,S,00165672,999,6,99999,99999999,+31.9272729,-086.6549540,L,9,99999,99999,99999,9,9,9,99999,9,99999999,02500,3,99999,99999,00510,090,023,01779775,99999,99999999,9,999,99999,99999999,999999,99999,9,99999,R,0012.2,36037
8,3,000,26,2,11,1,01,2,1,0,0,1,01,013,953000,1038,1,9999,99999,99999999,9,99999,99999999,7154307,0,0,0,0,0,99999,02,999,99999,99999999,A,00161532,91170,S,00165672,999,6,99999,99999999,+31.9272729,-086.6549540,L,9,99999,99999,99999,9,9,9,99999,9,99999999,02500,3,99999,99999,00510,090,023,01779775,99999,99999999,9,999,99999,99999999,999999,99999,9,99999,R,0012.2,36037
9,3,000,30,1,12,1,01,2,1,0,0,1,01,013,953000,1038,1,9999,99999,99999999,9,99999,99999999,7154307,0,0,0,0,0,99999,02,999,99999,99999999,A,00161532,91170,S,00165672,999,6,99999,99999999,+31.9272729,-086.6549540,L,9,99999,99999,99999,9,9,9,99999,9,99999999,02500,3,99999,99999,00510,090,023,01779775,99999,99999999,9,999,99999,99999999,999999,99999,9,99999,R,0012.2,36037
